ref,url,nome,imagem,categoria,valor_riscado,valor_boleto,desconto,n_parcelas,valor_parcela
92142,https://www.graodegente.com.br/quadros-e-paineis/quadro-amiguinho-gatinho-18cm-verde,Quadro Amiguinho Gatinho Verde/Amarelo 18cm,https://dmhxz00kguanp.cloudfront.net/fotos/92142/media_quadro-amiguinho-gatinho-verde-amarelo-20cm-207440.jpg,Quadro e Painel,57.25,47.99,0.16,11,533.0
92141,https://www.graodegente.com.br/quadros-e-paineis/quadro-amiguinho-gatinho-18cm-verde-1,Quadro Amiguinho Gatinho Verde/Azul 18cm,https://dmhxz00kguanp.cloudfront.net/fotos/92141/media_quadro-amiguinho-gatinho-verde-azul-20cm-207438.jpg,Quadro e Painel,57.25,47.99,0.16,11,533.0
92139,https://www.graodegente.com.br/quadros-e-paineis/quadro-amiguinho-gatinho-18cm-verde-3,Quadro Amiguinho Gatinho Verde/Branco,https://dmhxz00kguanp.cloudfront.net/fotos/92139/media_quadro-amiguinho-gatinho-verde-branco-20cm-278716.jpg,Quadro e Painel,57.25,47.99,0.33,11,533.0
92138,https://www.graodegente.com.br/quadros-e-paineis/quadro-amiguinho-gatinho-18cm-verde-2,Quadro Amiguinho Gatinho Verde/Preto 18cm,https://dmhxz00kguanp.cloudfront.net/fotos/92138/media_quadro-amiguinho-gatinho-verde-preto-20cm-207432.jpg,Quadro e Painel,57.25,47.99,0.16,11,533.0
92102,https://www.graodegente.com.br/quadros-e-paineis/quadro-amiguinho-coelhinho-18cm-verde,Quadro Amiguinho Coelhinho Verde/Amarelo 18cm,https://dmhxz00kguanp.cloudfront.net/fotos/92102/media_quadro-amiguinho-coelhinho-verde-amarelo-20cm-207224.jpg,Quadro e Painel,57.25,47.99,0.16,11,533.0
92101,https://www.graodegente.com.br/quadros-e-paineis/quadro-amiguinho-coelhinho-18cm-verde-1,Quadro Amiguinho Coelhinho Verde/Azul 18cm,https://dmhxz00kguanp.cloudfront.net/fotos/92101/media_quadro-amiguinho-coelhinho-verde-azul-20cm-207220.jpg,Quadro e Painel,57.25,47.99,0.16,11,533.0
92098,https://www.graodegente.com.br/quadros-e-paineis/quadro-amiguinho-coelhinho-18cm-verde-2,Quadro Amiguinho Coelhinho Verde/Branco,https://dmhxz00kguanp.cloudfront.net/fotos/92098/media_quadro-amiguinho-coelhinho-verde-branco-20cm-278715.jpg,Quadro e Painel,57.25,47.99,0.33,11,533.0
92097,https://www.graodegente.com.br/quadros-e-paineis/quadro-amiguinho-coelhinho-18cm-verde-3,Quadro Amiguinho Coelhinho Verde/Preto 18cm,https://dmhxz00kguanp.cloudfront.net/fotos/92097/media_quadro-amiguinho-coelhinho-verde-preto-20cm-207188.jpg,Quadro e Painel,57.25,47.99,0.16,11,533.0
92090,https://www.graodegente.com.br/quadros-e-paineis/quadro-amiguinho-carneirinho-18cm-verde,Quadro Amiguinho Carneirinho Verde/Amarelo 18cm,https://dmhxz00kguanp.cloudfront.net/fotos/92090/media_quadro-amiguinho-carneirinho-verde-amarelo-20cm-207030.jpg,Quadro e Painel,57.25,47.99,0.16,11,533.0
92089,https://www.graodegente.com.br/quadros-e-paineis/quadro-amiguinho-carneirinho-18cm-verde-1,Quadro Amiguinho Carneirinho Verde/Azul 18cm,https://dmhxz00kguanp.cloudfront.net/fotos/92089/media_quadro-amiguinho-carneirinho-verde-azul-20cm-207025.jpg,Quadro e Painel,57.25,47.99,0.16,11,533.0
